date,stock_id,volume,Trading_money,open,high,low,close,spread,Trading_turnover,TAIEX_return,SMA_10,SMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,OBV,future_change,target
2025-05-16,2308,4417699,1631729611,367.0,372.0,364.0,371.0,0.5,4643,0.005220372522175332,367.8,348.7,59.20297644695409,6.730053823230207,3.9486847748559497,2.7813690483742577,304.6230338229949,348.7,392.7769661770051,25.28073769831092,0.752966593826436,691098409.0,0.006738544474393482,0
2025-05-19,2308,4173391,1523421661,367.0,369.0,362.0,363.0,-8.0,6304,-0.014643130350229128,368.30000000000007,350.87499999999994,53.90163844165559,6.24811416829391,2.7733960959357216,3.474718072358188,308.6090811677153,350.87499999999994,393.14091883228457,24.09172430767916,0.6434370804537962,686925018.0,0.02066115702479343,1
2025-05-20,2308,4476672,1634538598,361.0,368.5,361.0,365.5,2.5,3842,0.00010221229214302241,368.9500000000001,353.54999999999995,55.25019090146766,5.998752738719361,2.019227733088938,3.979525005630423,315.03834762800375,353.54999999999995,392.06165237199616,21.785689363312805,0.6551478483001875,691401690.0,0.00547195622435015,0
2025-05-21,2308,6573468,2462859297,369.0,379.0,366.5,378.5,13.0,7694,0.012909022239586232,370.4500000000001,356.97499999999997,61.54924395651607,6.772059279779569,2.2340274193193164,4.5380318604602525,322.8352330967102,356.97499999999997,391.1147669032897,19.127259277702777,0.815248198105387,697975158.0,-0.022457067371202122,-1
2025-05-22,2308,7088787,2678541656,376.5,383.5,372.5,378.0,-0.5,6851,-0.006097530213617697,371.05000000000007,359.3999999999999,61.19246979276207,7.260865723290806,2.178267090264443,5.082598633026363,326.6142521336125,359.3999999999999,392.1857478663873,18.24471222392176,0.783659840181184,690886371.0,-0.010582010582010581,0
2025-05-23,2308,5335463,2003262147,378.0,380.5,372.0,373.5,-4.5,5830,-0.0008638288289950502,371.00000000000006,361.74999999999994,57.93742438213883,7.202114467086801,1.6956126672483505,5.506501799838451,332.32838245527955,361.74999999999994,391.17161754472033,16.26627093004583,0.6996831068540036,685550908.0,-0.016064257028112428,0
2025-05-26,2308,6228332,2320820359,374.0,376.5,369.5,370.5,-3.0,5487,-0.005342172449594229,371.05000000000007,363.74999999999994,55.806172730568434,6.8346926627436915,1.0625526903241918,5.7721399724195,338.0728547249871,363.74999999999994,389.4271452750128,14.118018020625616,0.6314398451951097,679322576.0,0.02429149797570851,1
2025-05-27,2308,4586098,1686842836,368.0,372.5,365.0,367.5,-3.0,5214,-0.0092879228215077,371.00000000000006,365.09999999999997,53.67965057550545,6.229622101930772,0.3659857036090175,5.863636398321755,341.8448930339929,365.09999999999997,388.35510696600704,12.739034218574133,0.5516015687115138,674736478.0,0.05850340136054433,1
2025-05-28,2308,4245970,1569035085,371.0,373.5,367.0,370.0,2.5,4058,0.0009926632902992338,370.80000000000007,366.59999999999997,55.21130066557923,5.884001325203485,0.01629194150538371,5.867709383698101,346.50653418592293,366.59999999999997,386.693465814077,10.962065365017478,0.5846046180250813,678982448.0,0.07567567567567557,1
2025-05-29,2308,13156731,4950371267,373.0,381.5,372.5,374.0,4.0,9084,-0.00048787979241238233,371.15,368.62499999999994,57.62562549345211,5.86524998930372,-0.001967515515505447,5.867217504819226,355.6884137749433,368.62499999999994,381.5615862250566,7.018832811153156,0.7077441415568084,692139179.0,0.05882352941176472,1
2025-06-02,2308,5974623,2219233989,381.0,381.0,366.0,367.5,-6.5,6209,-0.016142088226614115,370.8,369.3,52.658200561126954,5.26519979748133,-0.481614165870317,5.746813963351647,358.31484254956,369.3,380.28515745044,5.949178148085567,0.41807126988753746,686164556.0,0.08163265306122458,1
2025-06-03,2308,14297659,5453001213,374.5,386.0,373.0,379.5,12.0,12529,0.005914474846341333,372.45,370.37500000000006,59.58470322169663,5.692337683689118,-0.04358102373002293,5.735918707419141,359.84746717559847,370.37500000000006,380.90253282440165,5.684796665218542,0.933387392478571,700462215.0,0.059288537549407216,1
